la_Code,Borough,Occ_Rating,Observation,Value,Status
E09000011,Greenwich,rating: +1,32976,12376,Migrant
E09000011,Greenwich,rating: 0,46298,17376,Migrant
E09000011,Greenwich,rating: -1,9947,3733,Migrant
E09000011,Greenwich,rating: -2 or less,2272,853,Migrant
E09000012,Hackney,rating: +2 or more,12588,7588,Non-Migrant
E09000012,Hackney,rating: +1,25814,15561,Non-Migrant
E09000012,Hackney,rating: 0,54209,32678,Non-Migrant
E09000012,Hackney,rating: -1,11070,6673,Non-Migrant
E09000012,Hackney,rating: -2 or less,2400,1447,Non-Migrant
E09000012,Hackney,rating: +2 or more,12588,5000,Migrant
E09000012,Hackney,rating: +1,25814,10253,Migrant
E09000012,Hackney,rating: 0,54209,21531,Migrant
E09000012,Hackney,rating: -1,11070,4397,Migrant
E09000012,Hackney,rating: -2 or less,2400,953,Migrant
E09000013,Hammersmith and Fulham,rating: +2 or more,14293,7789,Non-Migrant
E09000013,Hammersmith and Fulham,rating: +1,20429,11134,Non-Migrant
E09000013,Hammersmith and Fulham,rating: 0,39129,21325,Non-Migrant
E09000013,Hammersmith and Fulham,rating: -1,6206,3382,Non-Migrant
E09000013,Hammersmith and Fulham,rating: -2 or less,1187,647,Non-Migrant
E09000013,Hammersmith and Fulham,rating: +2 or more,14293,6504,Migrant
E09000013,Hammersmith and Fulham,rating: +1,20429,9295,Migrant
E09000013,Hammersmith and Fulham,rating: 0,39129,17804,Migrant
E09000013,Hammersmith and Fulham,rating: -1,6206,2824,Migrant
E09000013,Hammersmith and Fulham,rating: -2 or less,1187,540,Migrant
E09000014,Haringey,rating: +2 or more,19716,10679,Non-Migrant
E09000014,Haringey,rating: +1,25609,13870,Non-Migrant
E09000014,Haringey,rating: 0,45622,24710,Non-Migrant
E09000014,Haringey,rating: -1,11210,6072,Non-Migrant
E09000014,Haringey,rating: -2 or less,2935,1590,Non-Migrant
E09000014,Haringey,rating: +2 or more,19716,9037,Migrant
E09000014,Haringey,rating: +1,25609,11739,Migrant
E09000014,Haringey,rating: 0,45622,20912,Migrant
E09000014,Haringey,rating: -1,11210,5138,Migrant
E09000014,Haringey,rating: -2 or less,2935,1345,Migrant
E09000015,Harrow,rating: +2 or more,26513,8702,Non-Migrant
E09000015,Harrow,rating: +1,24177,7935,Non-Migrant
E09000015,Harrow,rating: 0,28019,9196,Non-Migrant
E09000015,Harrow,rating: -1,8438,2769,Non-Migrant
E09000015,Harrow,rating: -2 or less,2496,819,Non-Migrant
E09000015,Harrow,rating: +2 or more,26513,17811,Migrant
E09000015,Harrow,rating: +1,24177,16242,Migrant
E09000015,Harrow,rating: 0,28019,18823,Migrant
E09000015,Harrow,rating: -1,8438,5669,Migrant
E09000015,Harrow,rating: -2 or less,2496,1677,Migrant
E09000016,Havering,rating: +2 or more,34335,27668,Non-Migrant
E09000016,Havering,rating: +1,32449,26148,Non-Migrant
E09000016,Havering,rating: 0,28368,22860,Non-Migrant
E09000016,Havering,rating: -1,5266,4243,Non-Migrant
E09000016,Havering,rating: -2 or less,859,692,Non-Migrant
E09000016,Havering,rating: +2 or more,34335,6667,Migrant
E09000016,Havering,rating: +1,32449,6301,Migrant
E09000016,Havering,rating: 0,28368,5508,Migrant
E09000016,Havering,rating: -1,5266,1023,Migrant
E09000016,Havering,rating: -2 or less,859,167,Migrant
E09000017,Hillingdon,rating: +2 or more,27287,16793,Non-Migrant
E09000017,Hillingdon,rating: +1,31476,19371,Non-Migrant
E09000017,Hillingdon,rating: 0,38076,23432,Non-Migrant
E09000017,Hillingdon,rating: -1,9984,6144,Non-Migrant
E09000017,Hillingdon,rating: -2 or less,2405,1480,Non-Migrant
E09000017,Hillingdon,rating: +2 or more,27287,10494,Migrant
E09000017,Hillingdon,rating: +1,31476,12105,Migrant
E09000017,Hillingdon,rating: 0,38076,14644,Migrant
E09000017,Hillingdon,rating: -1,9984,3840,Migrant
E09000017,Hillingdon,rating: -2 or less,2405,925,Migrant
E09000018,Hounslow,rating: +2 or more,21000,10607,Non-Migrant
E09000018,Hounslow,rating: +1,26288,13278,Non-Migrant
E09000018,Hounslow,rating: 0,40684,20549,Non-Migrant
E09000018,Hounslow,rating: -1,11544,5831,Non-Migrant
E09000018,Hounslow,rating: -2 or less,3445,1740,Non-Migrant
E09000018,Hounslow,rating: +2 or more,21000,10393,Migrant
E09000018,Hounslow,rating: +1,26288,13010,Migrant
E09000018,Hounslow,rating: 0,40684,20135,Migrant
E09000018,Hounslow,rating: -1,11544,5713,Migrant
E09000018,Hounslow,rating: -2 or less,3445,1705,Migrant
E09000019,Islington,rating: +2 or more,11346,6821,Non-Migrant
E09000019,Islington,rating: +1,24582,14779,Non-Migrant
E09000019,Islington,rating: 0,51520,30974,Non-Migrant
E09000019,Islington,rating: -1,7695,4626,Non-Migrant
E09000019,Islington,rating: -2 or less,1353,813,Non-Migrant
E09000019,Islington,rating: +2 or more,11346,4525,Migrant
E09000019,Islington,rating: +1,24582,9803,Migrant
E09000019,Islington,rating: 0,51520,20546,Migrant
E09000019,Islington,rating: -1,7695,3069,Migrant
E09000019,Islington,rating: -2 or less,1353,540,Migrant
E09000020,Kensington and Chelsea,rating: +2 or more,10894,5020,Non-Migrant
E09000020,Kensington and Chelsea,rating: +1,19296,8891,Non-Migrant
E09000020,Kensington and Chelsea,rating: 0,31270,14408,Non-Migrant
E09000020,Kensington and Chelsea,rating: -1,4112,1895,Non-Migrant
E09000020,Kensington and Chelsea,rating: -2 or less,1312,605,Non-Migrant
E09000020,Kensington and Chelsea,rating: +2 or more,10894,5874,Migrant
E09000020,Kensington and Chelsea,rating: +1,19296,10405,Migrant
E09000020,Kensington and Chelsea,rating: 0,31270,16862,Migrant
E09000020,Kensington and Chelsea,rating: -1,4112,2217,Migrant
E09000020,Kensington and Chelsea,rating: -2 or less,1312,707,Migrant
E09000021,Kingston upon Thames,rating: +2 or more,21342,14154,Non-Migrant
E09000021,Kingston upon Thames,rating: +1,19673,13047,Non-Migrant
E09000021,Kingston upon Thames,rating: 0,20673,13710,Non-Migrant
E09000021,Kingston upon Thames,rating: -1,3420,2268,Non-Migrant
E09000021,Kingston upon Thames,rating: -2 or less,518,344,Non-Migrant
E09000021,Kingston upon Thames,rating: +2 or more,21342,7188,Migrant
E09000021,Kingston upon Thames,rating: +1,19673,6626,Migrant
E09000021,Kingston upon Thames,rating: 0,20673,6963,Migrant
E09000021,Kingston upon Thames,rating: -1,3420,1152,Migrant
E09000021,Kingston upon Thames,rating: -2 or less,518,174,Migrant
E09000022,Lambeth,rating: +2 or more,21600,13266,Non-Migrant
E09000022,Lambeth,rating: +1,34995,21493,Non-Migrant
E09000022,Lambeth,rating: 0,63871,39227,Non-Migrant
E09000022,Lambeth,rating: -1,11440,7026,Non-Migrant
E09000022,Lambeth,rating: -2 or less,2783,1709,Non-Migrant
E09000022,Lambeth,rating: +2 or more,21600,8334,Migrant
E09000022,Lambeth,rating: +1,34995,13502,Migrant
E09000022,Lambeth,rating: 0,63871,24644,Migrant
E09000022,Lambeth,rating: -1,11440,4414,Migrant
E09000022,Lambeth,rating: -2 or less,2783,1074,Migrant
E09000023,Lewisham,rating: +2 or more,22849,14709,Non-Migrant
E09000023,Lewisham,rating: +1,33308,21442,Non-Migrant
E09000023,Lewisham,rating: 0,52274,33652,Non-Migrant
E09000023,Lewisham,rating: -1,11211,7217,Non-Migrant
E09000023,Lewisham,rating: -2 or less,2750,1770,Non-Migrant
E09000023,Lewisham,rating: +2 or more,22849,8140,Migrant
E09000023,Lewisham,rating: +1,33308,11866,Migrant
E09000023,Lewisham,rating: 0,52274,18622,Migrant
E09000023,Lewisham,rating: -1,11211,3994,Migrant
E09000023,Lewisham,rating: -2 or less,2750,980,Migrant
E09000024,Merton,rating: +2 or more,23541,14883,Non-Migrant
E09000024,Merton,rating: +1,23381,14782,Non-Migrant
E09000024,Merton,rating: 0,27129,17152,Non-Migrant
E09000024,Merton,rating: -1,6208,3925,Non-Migrant
E09000024,Merton,rating: -2 or less,1470,929,Non-Migrant
E09000024,Merton,rating: +2 or more,23541,8658,Migrant
E09000024,Merton,rating: +1,23381,8599,Migrant
E09000024,Merton,rating: 0,27129,9977,Migrant
E09000024,Merton,rating: -1,6208,2283,Migrant
E09000024,Merton,rating: -2 or less,1470,541,Migrant
E09000025,Newham,rating: +2 or more,14463,6693,Non-Migrant
E09000025,Newham,rating: +1,26045,12053,Non-Migrant
E09000025,Newham,rating: 0,50136,23201,Non-Migrant
E09000025,Newham,rating: -1,18316,8476,Non-Migrant
E09000025,Newham,rating: -2 or less,6547,3030,Non-Migrant
E09000025,Newham,rating: +2 or more,14463,7770,Migrant
E09000025,Newham,rating: +1,26045,13992,Migrant
E09000025,Newham,rating: 0,50136,26935,Migrant
E09000025,Newham,rating: -1,18316,9840,Migrant
E09000025,Newham,rating: -2 or less,6547,3517,Migrant
E09000026,Redbridge,rating: +2 or more,29194,16463,Non-Migrant
E09000026,Redbridge,rating: +1,27566,15545,Non-Migrant
E09000026,Redbridge,rating: 0,33324,18792,Non-Migrant
E09000026,Redbridge,rating: -1,10899,6146,Non-Migrant
E09000026,Redbridge,rating: -2 or less,2731,1540,Non-Migrant
E09000026,Redbridge,rating: +2 or more,29194,12731,Migrant
E09000026,Redbridge,rating: +1,27566,12021,Migrant
E09000026,Redbridge,rating: 0,33324,14532,Migrant
E09000026,Redbridge,rating: -1,10899,4753,Migrant
E09000026,Redbridge,rating: -2 or less,2731,1191,Migrant
E09000027,Richmond upon Thames,rating: +2 or more,28502,20296,Non-Migrant
E09000027,Richmond upon Thames,rating: +1,25300,18016,Non-Migrant
E09000027,Richmond upon Thames,rating: 0,23682,16863,Non-Migrant
E09000027,Richmond upon Thames,rating: -1,2821,2009,Non-Migrant
E09000027,Richmond upon Thames,rating: -2 or less,400,285,Non-Migrant
E09000027,Richmond upon Thames,rating: +2 or more,28502,8206,Migrant
E09000027,Richmond upon Thames,rating: +1,25300,7284,Migrant
E09000027,Richmond upon Thames,rating: 0,23682,6819,Migrant
E09000027,Richmond upon Thames,rating: -1,2821,812,Migrant
E09000027,Richmond upon Thames,rating: -2 or less,400,115,Migrant
E09000028,Southwark,rating: +2 or more,17780,10542,Non-Migrant
E09000028,Southwark,rating: +1,33974,20143,Non-Migrant
E09000028,Southwark,rating: 0,63094,37408,Non-Migrant
E09000028,Southwark,rating: -1,12735,7550,Non-Migrant
E09000028,Southwark,rating: -2 or less,3235,1918,Non-Migrant
E09000028,Southwark,rating: +2 or more,17780,7238,Migrant
E09000028,Southwark,rating: +1,33974,13831,Migrant
E09000028,Southwark,rating: 0,63094,25686,Migrant
E09000028,Southwark,rating: -1,12735,5185,Migrant
E09000028,Southwark,rating: -2 or less,3235,1317,Migrant
E09000029,Sutton,rating: +2 or more,23272,16812,Non-Migrant
E09000029,Sutton,rating: +1,25107,18138,Non-Migrant
E09000029,Sutton,rating: 0,28038,20255,Non-Migrant
E09000029,Sutton,rating: -1,5286,3819,Non-Migrant
E09000029,Sutton,rating: -2 or less,645,466,Non-Migrant
E09000029,Sutton,rating: +2 or more,23272,6460,Migrant
E09000029,Sutton,rating: +1,25107,6969,Migrant
E09000029,Sutton,rating: 0,28038,7783,Migrant
E09000029,Sutton,rating: -1,5286,1467,Migrant
E09000029,Sutton,rating: -2 or less,645,179,Migrant
E09000030,Tower Hamlets,rating: +2 or more,9039,4809,Non-Migrant
E09000030,Tower Hamlets,rating: +1,29162,15514,Non-Migrant
E09000030,Tower Hamlets,rating: 0,63208,33626,Non-Migrant
E09000030,Tower Hamlets,rating: -1,14882,7917,Non-Migrant
E09000030,Tower Hamlets,-2 or less,4248,2260,Non-Migrant
E09000030,Tower Hamlets,rating: +2 or more,9039,4230,Migrant
E09000030,Tower Hamlets,rating: +1,29162,13648,Migrant
E09000030,Tower Hamlets,rating: 0,63208,29582,Migrant
E09000030,Tower Hamlets,rating: -1,14882,6965,Migrant
E09000030,Tower Hamlets,-2 or less,4248,1988,Migrant
E09000031,Waltham Forest,rating: +2 or more,21746,13361,Non-Migrant
E09000031,Waltham Forest,rating: +1,28709,17639,Non-Migrant
E09000031,Waltham Forest,rating: 0,38615,23726,Non-Migrant
E09000031,Waltham Forest,rating: -1,10794,6632,Non-Migrant
E09000031,Waltham Forest,-2 or less,3039,1867,Non-Migrant
E09000031,Waltham Forest,rating: +2 or more,21746,8385,Migrant
E09000031,Waltham Forest,rating: +1,28709,11070,Migrant
E09000031,Waltham Forest,rating: 0,38615,14889,Migrant
