la_Code,borough,economic_Status,Observation,Status,Value
E09000009,Ealing,Unemployed/Inactive,120345,Migrant,61155
E09000009,Ealing,Employee: Part-time,34845,Non-Migrant,17138
E09000009,Ealing,Employee: Full-time,103337,Non-Migrant,50825
E09000009,Ealing,Self-employed: Part-time,16149,Non-Migrant,7943
E09000009,Ealing,Self-employed: Full-time,20695,Non-Migrant,10179
E09000009,Ealing,Unemployed/Inactive,120345,Non-Migrant,59190
E09000010,Enfield,Employee: Part-time,36529,Migrant,14741
E09000010,Enfield,Employee: Full-time,75827,Migrant,30599
E09000010,Enfield,Self-employed: Part-time,14290,Migrant,5767
E09000010,Enfield,Self-employed: Full-time,17218,Migrant,6948
E09000010,Enfield,Unemployed/Inactive,113318,Migrant,45728
E09000010,Enfield,Employee: Part-time,36529,Non-Migrant,21788
E09000010,Enfield,Employee: Full-time,75827,Non-Migrant,45228
E09000010,Enfield,Self-employed: Part-time,14290,Non-Migrant,8523
E09000010,Enfield,Self-employed: Full-time,17218,Non-Migrant,10270
E09000010,Enfield,Unemployed/Inactive,113318,Non-Migrant,67590
E09000011,Greenwich,Employee: Part-time,27317,Migrant,10252
E09000011,Greenwich,Employee: Full-time,89961,Migrant,33763
E09000011,Greenwich,Self-employed: Part-time,10521,Migrant,3949
E09000011,Greenwich,Self-employed: Full-time,15136,Migrant,5681
E09000011,Greenwich,Unemployed/Inactive,86814,Migrant,32582
E09000011,Greenwich,Employee: Part-time,27317,Non-Migrant,17065
E09000011,Greenwich,Employee: Full-time,89961,Non-Migrant,56198
E09000011,Greenwich,Self-employed: Part-time,10521,Non-Migrant,6572
E09000011,Greenwich,Self-employed: Full-time,15136,Non-Migrant,9455
E09000011,Greenwich,Unemployed/Inactive,86814,Non-Migrant,54232
E09000012,Hackney,Employee: Part-time,27445,Migrant,10901
E09000012,Hackney,Employee: Full-time,79311,Migrant,31501
E09000012,Hackney,Self-employed: Part-time,12029,Migrant,4778
E09000012,Hackney,Self-employed: Full-time,15523,Migrant,6165
E09000012,Hackney,Unemployed/Inactive,75158,Migrant,29851
E09000012,Hackney,Employee: Part-time,27445,Non-Migrant,16544
E09000012,Hackney,Employee: Full-time,79311,Non-Migrant,47810
E09000012,Hackney,Self-employed: Part-time,12029,Non-Migrant,7251
E09000012,Hackney,Self-employed: Full-time,15523,Non-Migrant,9358
E09000012,Hackney,Unemployed/Inactive,75158,Non-Migrant,45307
E09000013,Hammersmith and Fulham,Employee: Part-time,14102,Migrant,6417
E09000013,Hammersmith and Fulham,Employee: Full-time,64931,Migrant,29545
E09000013,Hammersmith and Fulham,Self-employed: Part-time,8506,Migrant,3870
E09000013,Hammersmith and Fulham,Self-employed: Full-time,10559,Migrant,4804
E09000013,Hammersmith and Fulham,Unemployed/Inactive,56534,Migrant,25724
E09000013,Hammersmith and Fulham,Employee: Part-time,14102,Non-Migrant,7685
E09000013,Hammersmith and Fulham,Employee: Full-time,64931,Non-Migrant,35386
E09000013,Hammersmith and Fulham,Self-employed: Part-time,8506,Non-Migrant,4636
E09000013,Hammersmith and Fulham,Self-employed: Full-time,10559,Non-Migrant,5755
E09000013,Hammersmith and Fulham,Unemployed/Inactive,56534,Non-Migrant,30810
E09000014,Haringey,Employee: Part-time,28445,Migrant,13039
E09000014,Haringey,Employee: Full-time,73089,Migrant,33502
E09000014,Haringey,Self-employed: Part-time,15021,Migrant,6885
E09000014,Haringey,Self-employed: Full-time,17826,Migrant,8171
E09000014,Haringey,Unemployed/Inactive,81916,Migrant,37549
E09000014,Haringey,Employee: Part-time,28445,Non-Migrant,15406
E09000014,Haringey,Employee: Full-time,73089,Non-Migrant,39587
E09000014,Haringey,Self-employed: Part-time,15021,Non-Migrant,8136
E09000014,Haringey,Self-employed: Full-time,17826,Non-Migrant,9655
E09000014,Haringey,Unemployed/Inactive,81916,Non-Migrant,44367
E09000015,Harrow,Employee: Part-time,24975,Migrant,16778
E09000015,Harrow,Employee: Full-time,68891,Migrant,46280
E09000015,Harrow,Self-employed: Part-time,11564,Migrant,7769
E09000015,Harrow,Self-employed: Full-time,19609,Migrant,13173
E09000015,Harrow,Unemployed/Inactive,84584,Migrant,56823
E09000015,Harrow,Employee: Part-time,24975,Non-Migrant,8197
E09000015,Harrow,Employee: Full-time,68891,Non-Migrant,22611
E09000015,Harrow,Self-employed: Part-time,11564,Non-Migrant,3795
E09000015,Harrow,Self-employed: Full-time,19609,Non-Migrant,6436
E09000015,Harrow,Unemployed/Inactive,84584,Non-Migrant,27761
E09000016,Havering,Employee: Part-time,26501,Migrant,5146
E09000016,Havering,Employee: Full-time,74622,Migrant,14490
E09000016,Havering,Self-employed: Part-time,8709,Migrant,1691
E09000016,Havering,Self-employed: Full-time,14949,Migrant,2903
E09000016,Havering,Unemployed/Inactive,84949,Migrant,16495
E09000016,Havering,Employee: Part-time,26501,Non-Migrant,21355
E09000016,Havering,Employee: Full-time,74622,Non-Migrant,60132
E09000016,Havering,Self-employed: Part-time,8709,Non-Migrant,7018
E09000016,Havering,Self-employed: Full-time,14949,Non-Migrant,12046
E09000016,Havering,Unemployed/Inactive,84949,Non-Migrant,68454
E09000017,Hillingdon,Employee: Part-time,30472,Migrant,11719
E09000017,Hillingdon,Employee: Full-time,86738,Migrant,33358
E09000017,Hillingdon,Self-employed: Part-time,10045,Migrant,3863
